17.12.2022

Перемещение в ОП
https://inside.oooeidos.ru/waybills/73009
102 - 5
930 - 2
993 - 1000
2318 - 1
7194 - 10000
7195 - 10000
7602 - 1
8251 - 1
8329 - 1
9480 - 99000
9619 - 1

Перемещение в ОСС
https://inside.oooeidos.ru/waybills/73008
17 - 1
1737 - 1
1740 - 1
1921 - 3
2026 - 3
2028 - 3
2029 - 3
2030 - 3
2033 - 3
2315 - 2
8055 - 1
8107 - 1

Перемещение в ОСР
https://inside.oooeidos.ru/waybills/73007
727 - 1
7983 - 1
7986 - 1

Перемещение в SMT
https://inside.oooeidos.ru/waybills/73006
76 - 45
87 - 12
113 - 2
122 - 2
123 - 30
146 - 5
147 - 2
149 - 8
150 - 9
151 - 2
152 - 5
188 - 4
470 - 6
598 - 2
657 - 10
658 - 2
670 - 2
926 - 4
927 - 12
931 - 5
932 - 3
943 - 3
970 - 37
1059 - 4
1068 - 5
1100 - 6
1655 - 2
1767 - 8
1783 - 23
1894 - 3
1897 - 2
2007 - 2
2008 - 2
2011 - 2
2049 - 2
2051 - 2
2053 - 2
2054 - 2
2055 - 2
2468 - 57
2485 - 6
2516 - 3
3532 - 2
4570 - 2
